Series,Status,Apps.,Part Number,Previous Part Number,Capacitance,Size(LxW),T(max),Rated Volt.[Vdc],Temperature Characteristic,Cap. Tole.,tanδ(max) [%],Q(min),Temp.[℃],Case Size(EIA/JIS),Dimension L,Dimension W,Dimension T,Standard Quantity,RoHS,Q200
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG8R5DFNA1J,UMK063CG8R5DTHF,8.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,570,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG8R6DFNA1J,UMK063CG8R6DTHF,8.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,572,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG8R7DFNA1J,UMK063CG8R7DTHF,8.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,574,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG8R8DFNA1J,UMK063CG8R8DTHF,8.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,576,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG8R9DFNA1J,UMK063CG8R9DTHF,8.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,578,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG090DFNA1J,UMK063CG090DTHF,9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,580,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R1DFNA1J,UMK063CG9R1DTHF,9.1 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,582,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R2DFNA1J,UMK063CG9R2DTHF,9.2 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,584,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R3DFNA1J,UMK063CG9R3DTHF,9.3 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,586,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R4DFNA1J,UMK063CG9R4DTHF,9.4 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,588,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R5DFNA1J,UMK063CG9R5DTHF,9.5 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,590,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R6DFNA1J,UMK063CG9R6DTHF,9.6 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,592,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R7DFNA1J,UMK063CG9R7DTHF,9.7 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,594,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R8DFNA1J,UMK063CG9R8DTHF,9.8 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,596,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG9R9DFNA1J,UMK063CG9R9DTHF,9.9 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,598,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG100DFNA1J,UMK063CG100DTHF,10 pF,0.6x0.3,0.33,50,C0G/CG,± 0.5pF,,600,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG110JFNA1J,UMK063CG110JTHF,11 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,620,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG120JFNA1J,UMK063CG120JTHF,12 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,640,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG130JFNA1J,UMK063CG130JTHF,13 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,660,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG150JFNA1J,UMK063CG150JTHF,15 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,700,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG160JFNA1J,UMK063CG160JTHF,16 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,720,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG180JFNA1J,UMK063CG180JTHF,18 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,760,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG200JFNA1J,UMK063CG200JTHF,20 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,800,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG220JFNA1J,UMK063CG220JTHF,22 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,840,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG240JFNA1J,UMK063CG240JTHF,24 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,880,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG270JFNA1J,UMK063CG270JTHF,27 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,940,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG300JFNA1J,UMK063CG300JTHF,30 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG330JFNA1J,UMK063CG330JTHF,33 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG360JFNA1J,UMK063CG360JTHF,36 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG390JFNA1J,UMK063CG390JTHF,39 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG430JFNA1J,UMK063CG430JTHF,43 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG470JFNA1J,UMK063CG470JTHF,47 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG510JFNA1J,UMK063CG510JTHF,51 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG560JFNA1J,UMK063CG560JTHF,56 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG620JFNA1J,UMK063CG620JTHF,62 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG680JFNA1J,UMK063CG680JTHF,68 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG750JFNA1J,UMK063CG750JTHF,75 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG820JFNA1J,UMK063CG820JTHF,82 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG910JFNA1J,UMK063CG910JTHF,91 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG101JFNA1J,UMK063CG101JTHF,100 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG111JFNA1J,UMK063CG111JTHF,110 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG121JFNA1J,UMK063CG121JTHF,120 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG131JFNA1J,UMK063CG131JTHF,130 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG151JFNA1J,UMK063CG151JTHF,150 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG181JFNA1J,UMK063CG181JTHF,180 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG201JFNA1J,UMK063CG201JTHF,200 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU063SCG221JFNA1J,UMK063CG221JTHF,220 pF,0.6x0.3,0.33,50,C0G/CG,± 5 %,,1000,-55 to +125,0201/0603,0.6 ±0.03,0.3 ±0.03,0.3 ±0.03,Taping Paper 15000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG0R5CFNA1J,UMK105CG0R5CVHF,0.5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,410,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG010CFNA1J,UMK105CG010CVHF,1 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,420,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG1R5CFNA1J,UMK105CG1R5CVHF,1.5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,430,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG020CFNA1J,UMK105CG020CVHF,2 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,440,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG030CFNA1J,UMK105CG030CVHF,3 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,460,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG040CFNA1J,UMK105CG040CVHF,4 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,480,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG050CFNA1J,UMK105CG050CVHF,5 pF,1.0x0.5,0.55,50,C0G/CG,± 0.25pF,,500,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG060DFNA1J,UMK105CG060DVHF,6 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,520,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG070DFNA1J,UMK105CG070DVHF,7 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,540,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG080DFNA1J,UMK105CG080DVHF,8 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,560,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG090DFNA1J,UMK105CG090DVHF,9 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,580,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG100DFNA1J,UMK105CG100DVHF,10 pF,1.0x0.5,0.55,50,C0G/CG,± 0.5pF,,600,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG120JFNA1J,UMK105CG120JVHF,12 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,640,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG150JFNA1J,UMK105CG150JVHF,15 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,700,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG180JFNA1J,UMK105CG180JVHF,18 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,760,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG220JFNA1J,UMK105CG220JVHF,22 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,840,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG270JFNA1J,UMK105CG270JVHF,27 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,940,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG330JFNA1J,UMK105CG330JVHF,33 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG390JFNA1J,UMK105CG390JVHF,39 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG470JFNA1J,UMK105CG470JVHF,47 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG560JFNA1J,UMK105CG560JVHF,56 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG680JFNA1J,UMK105CG680JVHF,68 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
Multilayer Ceramic Capacitors (Temperature compensating type) for Automotive Body & Chassis and Infotainment,Mass Production,"(C)Auto. (Body, Info.)",MCASU105SCG820JFNA1J,UMK105CG820JVHF,82 pF,1.0x0.5,0.55,50,C0G/CG,± 5 %,,1000,-55 to +125,0402/1005,1.0 ±0.05,0.5 ±0.05,0.5 ±0.05,Taping Paper 10000pcs,RoHS compliance,
